location,location_type,total_jobs_added_2008_2018,jobs_per_1_000_residents_2008_2018,total_building_permits_2008_2018,permits_per_1_000_residents_2008_2018,jobs_per_permit_2008_2018,multi_family_permit_share_1990_2005,multi_family_permit_share_2006_2018,average_size_of_multi_family_properties_1990_2005,average_size_of_multi_family_properties_2006_2018
National,National,10245757,3.2,9578280,3,1.1,23.4%,33.9%,8,13.2
"Abilene, TX",Metro,2345,1.4,3328,2,0.7,26.4%,16.8%,6.4,6.3
"Akron, OH",Metro,-3817,-0.5,8676,1.2,-0.4,23.7%,14.7%,6.2,9.9
"Albany-Schenectady-Troy, NY",Metro,18203,2.1,22100,2.5,0.8,23.2%,44.0%,7.8,8.9
"Albuquerque, NM",Metro,-3261,-0.4,21525,2.4,-0.2,13.9%,17.8%,11.4,10.1
"Allentown-Bethlehem-Easton, PA-NJ",Metro,27229,3.3,13372,1.6,2,11.1%,15.1%,8.7,8.3
"Amarillo, TX",Metro,3503,1.3,8845,3.4,0.4,20.1%,34.2%,13,11.5
"Anchorage, AK",Metro,5032,1.3,8032,2,0.6,38.4%,33.3%,3.4,5.1
"Ann Arbor, MI",Metro,26387,7.3,5022,1.4,5.3,19.4%,22.1%,8.4,8.9
"Appleton, WI",Metro,5801,2.5,8123,3.5,0.7,32.4%,33.7%,4.6,6.4
"Asheville, NC",Metro,19543,4.4,20070,4.5,1,18.8%,21.5%,5.3,14.1
"Athens-Clarke County, GA",Metro,6826,3.6,6694,3.6,1,32.3%,31.8%,6.6,14.2
"Atlanta-Sandy Springs-Roswell, GA",Metro,316918,5.6,228230,4,1.4,20.2%,30.4%,18.5,31.9
"Atlantic City-Hammonton, NJ",Metro,-17105,-6.3,6777,2.5,-2.5,9.8%,34.0%,6.4,12.3
"Augusta-Richmond County, GA-SC",Metro,16787,2.8,26981,4.6,0.6,8.3%,8.6%,8.1,11.3
"Austin-Round Rock, TX",Metro,252488,12.6,189113,9.5,1.3,34.2%,41.9%,12.5,19.2
"Bakersfield, CA",Metro,39849,4.5,20570,2.3,1.9,9.5%,18.6%,4.9,4.5
"Baltimore-Columbia-Towson, MD",Metro,84116,3,70448,2.5,1.2,19.8%,36.9%,15.5,31
"Barnstable Town, MA",Metro,5873,2.7,5980,2.8,1,6.6%,22.5%,4.9,8.7
"Baton Rouge, LA",Metro,23483,2.8,33739,4.1,0.7,15.3%,14.6%,11,11.4
"Beaumont-Port Arthur, TX",Metro,-2474,-0.6,13147,3.3,-0.2,13.6%,31.9%,9,9.6
"Bellingham, WA",Metro,8214,3.9,9213,4.3,0.9,35.1%,34.1%,6.7,7.9
"Bend-Redmond, OR",Metro,16797,9.6,13199,7.5,1.3,16.7%,12.4%,4.2,7
"Binghamton, NY",Metro,-10359,-4.2,2048,0.8,-5.1,12.1%,33.9%,7.3,6.9
"Birmingham-Hoover, AL",Metro,2319,0.2,28169,2.5,0.1,16.7%,21.1%,12.7,19.9
"Blacksburg-Christiansburg-Radford, VA",Metro,2711,1.5,4810,2.6,0.6,17.8%,26.2%,5.5,10.2
"Bloomington, IL",Metro,-3161,-1.7,4465,2.4,-0.7,31.3%,35.7%,8.5,11.6
