cbsa_code,cbsa_name_full,year,permits_sf,permits_mf,permits_tot,population,permits_per_capita
10100,"Aberdeen, SD",1990,54,26,80,39854,2.00732674261053
10100,"Aberdeen, SD",1991,43,16,59,39813,1.48192801346294
10100,"Aberdeen, SD",1992,77,8,85,39929,2.12877858198302
10100,"Aberdeen, SD",1993,71,17,88,40064,2.19648562300319
10100,"Aberdeen, SD",1994,62,22,84,40108,2.094345267777
10100,"Aberdeen, SD",1995,80,33,113,40170,2.81304456061738
10100,"Aberdeen, SD",1996,57,145,202,40194,5.02562571528089
10100,"Aberdeen, SD",1997,45,6,51,39912,1.27781118460613
10100,"Aberdeen, SD",1998,44,9,53,39590,1.33872189946956
10100,"Aberdeen, SD",1999,60,12,72,39390,1.82787509520183
10100,"Aberdeen, SD",2000,61,56,117,39825,2.93785310734463
10100,"Aberdeen, SD",2001,71,16,87,39602,2.19685874450785
10100,"Aberdeen, SD",2002,97,66,163,39417,4.13527158332699
10100,"Aberdeen, SD",2003,87,24,111,39419,2.81590096146528
10100,"Aberdeen, SD",2004,123,13,136,39440,3.44827586206897
10100,"Aberdeen, SD",2005,127,21,148,39569,3.74030175137102
10100,"Aberdeen, SD",2006,112,18,130,39604,3.28249671750328
10100,"Aberdeen, SD",2007,141,46,187,39847,4.69295053579943
10100,"Aberdeen, SD",2008,141,14,155,39915,3.88325191030941
10100,"Aberdeen, SD",2009,126,173,299,40219,7.43429722270569
10100,"Aberdeen, SD",2010,101,90,191,40717,4.6909153424859404
10100,"Aberdeen, SD",2011,131,92,223,40962,5.44407011376398
10100,"Aberdeen, SD",2012,139,203,342,41576,8.22589955743698
10100,"Aberdeen, SD",2013,141,177,318,42155,7.54358913533389
10100,"Aberdeen, SD",2014,91,69,160,42220,3.78967314069162
10100,"Aberdeen, SD",2015,92,97,189,42404,4.45712668616168
10100,"Aberdeen, SD",2016,109,0,109,42849,2.54381665849845
10100,"Aberdeen, SD",2017,84,72,156,43235,3.60818781080143
10100,"Aberdeen, SD",2018,63,20,83,43191,1.921696649765
10140,"Aberdeen, WA",1990,126,2,128,64397,1.98767023308539
10140,"Aberdeen, WA",1991,163,6,169,64650,2.61407579273008
10140,"Aberdeen, WA",1992,185,13,198,65418,3.02668990186187
10140,"Aberdeen, WA",1993,197,55,252,65992,3.81864468420415
10140,"Aberdeen, WA",1994,207,104,311,66647,4.66637658109142
10140,"Aberdeen, WA",1995,215,15,230,67277,3.41870178515689
10140,"Aberdeen, WA",1996,341,94,435,67769,6.41886408239756
10140,"Aberdeen, WA",1997,235,65,300,68030,4.40981919741291
10140,"Aberdeen, WA",1998,180,52,232,67477,3.43820857477363
10140,"Aberdeen, WA",1999,189,28,217,67278,3.22542287226136
10140,"Aberdeen, WA",2000,186,34,220,67075,3.27991054789415
10140,"Aberdeen, WA",2001,207,11,218,67896,3.21079297749499
10140,"Aberdeen, WA",2002,218,8,226,68264,3.310676198289
10140,"Aberdeen, WA",2003,291,38,329,69065,4.76362846593788
10140,"Aberdeen, WA",2004,294,76,370,69775,5.30275886778932
10140,"Aberdeen, WA",2005,335,85,420,70423,5.96396063785979
10140,"Aberdeen, WA",2006,444,89,533,71256,7.48007185359829
10140,"Aberdeen, WA",2007,462,41,503,71827,7.00293761398917
10140,"Aberdeen, WA",2008,250,84,334,72027,4.63714995765477
10140,"Aberdeen, WA",2009,142,24,166,72468,2.29066622509245
10140,"Aberdeen, WA",2010,163,3,166,72843,2.27887374215779
10140,"Aberdeen, WA",2011,104,10,114,72357,1.57552137319126
10140,"Aberdeen, WA",2012,125,0,125,71770,1.74167479448237
10140,"Aberdeen, WA",2013,122,0,122,71046,1.71719730878586
10140,"Aberdeen, WA",2014,140,2,142,70783,2.00613141573542
10140,"Aberdeen, WA",2015,174,4,178,71027,2.5060892336717
10140,"Aberdeen, WA",2016,207,0,207,71572,2.89219247750517
10140,"Aberdeen, WA",2017,251,0,251,72553,3.45953992253939
10140,"Aberdeen, WA",2018,455,8,463,73901,6.26513849609613
10180,"Abilene, TX",1990,109,13,122,147693,0.826037794614504
10180,"Abilene, TX",1991,148,4,152,146701,1.03612108983579
10180,"Abilene, TX",1992,275,8,283,148648,1.90382648942468
10180,"Abilene, TX",1993,300,18,318,150992,2.10607184486595
10180,"Abilene, TX",1994,264,202,466,151259,3.0808084147059
10180,"Abilene, TX",1995,243,182,425,152929,2.7790674103669
10180,"Abilene, TX",1996,258,128,386,152568,2.53001940118504
10180,"Abilene, TX",1997,224,3,227,153007,1.48359225394917
10180,"Abilene, TX",1998,262,4,266,153264,1.73556738699238
10180,"Abilene, TX",1999,189,6,195,154098,1.26542849355605
10180,"Abilene, TX",2000,171,210,381,160288,2.3769714513875
10180,"Abilene, TX",2001,178,412,590,158917,3.71262986338781
10180,"Abilene, TX",2002,165,28,193,159012,1.21374487460066
10180,"Abilene, TX",2003,199,22,221,158810,1.39160002518733
10180,"Abilene, TX",2004,283,8,291,160156,1.81697844601514
10180,"Abilene, TX",2005,310,36,346,160761,2.15226329769036
10180,"Abilene, TX",2006,333,32,365,161389,2.26161634312128
10180,"Abilene, TX",2007,283,10,293,162023,1.80838522925757
10180,"Abilene, TX",2008,190,6,196,162508,1.20609446919536
10180,"Abilene, TX",2009,214,0,214,163888,1.30576979400566
10180,"Abilene, TX",2010,272,118,390,165583,2.35531425327479
10180,"Abilene, TX",2011,153,6,159,166616,0.954290104191674
10180,"Abilene, TX",2012,241,214,455,167447,2.71727770578153
10180,"Abilene, TX",2013,292,14,306,167472,1.82717110920034
10180,"Abilene, TX",2014,284,0,284,168355,1.68691158563749
10180,"Abilene, TX",2015,303,232,535,169704,3.15254796586999
