GEOID,cbsa_name_full,pop
12060,"Atlanta-Sandy Springs-Roswell, GA",5882450
12580,"Baltimore-Columbia-Towson, MD",2808175
14460,"Boston-Cambridge-Newton, MA-NH",4836531
16740,"Charlotte-Concord-Gastonia, NC-SC",2525305
16980,"Chicago-Naperville-Elgin, IL-IN-WI",9533895
19100,"Dallas-Fort Worth-Arlington, TX",7400479
19740,"Denver-Aurora-Lakewood, CO",2888227
19820,"Detroit-Warren-Dearborn, MI",4313002
26420,"Houston-The Woodlands-Sugar Land, TX",6892427
31080,"Los Angeles-Long Beach-Anaheim, CA",13353907
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",6158824
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3600618
35620,"New York-Newark-Jersey City, NY-NJ-PA",20320876
36740,"Orlando-Kissimmee-Sanford, FL",2509831
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6096120
38060,"Phoenix-Mesa-Scottsdale, AZ",4737270
38900,"Portland-Vancouver-Hillsboro, OR-WA",2451560
40140,"Riverside-San Bernardino-Ontario, CA",4580670
41180,"St. Louis, MO-IL",2807216
41700,"San Antonio-New Braunfels, TX",2473974
41740,"San Diego-Carlsbad, CA",3337685
41860,"San Francisco-Oakland-Hayward, CA",4727357
42660,"Seattle-Tacoma-Bellevue, WA",3867046
45300,"Tampa-St. Petersburg-Clearwater, FL",3091399
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6216710
